Approach,Document_ID,Participants,Interventions,Outcomes,Gold_Participants,Gold_Interventions,Gold_Outcomes
crf_predictions,10070173,Not Found,Not Found,Mean daily nasal symptom scores | non-nasal adverse events | nasal irritation | quality of life,seasonal allergic rhinitis . | Two hundred and eighty-four out-patients | SAR | symptomatic during the ragweed season | 243 | SAR .,budesonide Turbuhaler | budesonide aqua | budesonide Turbuhaler | budesonide aqua | budesonide . | Turbuhaler | Turbuhaler | aqua spray | budesonide aqua | budesonide Turbuhaler | budesonide powder | Turbuhaler | aqua,patients ' preferences | quality of life . | Mean daily nasal symptom scores | eye symptoms . | nasal and non-nasal adverse events | epistaxis | headache . | nasal irritation | quality of life | safe | efficacious
crf_predictions,10390665,aged 4-10 years | children,granisetron | perphenazine | perphenazine 70 mg kg-1,clinically serious adverse events,children . | tonsillectomy with or without adenoidectomy | children | 90 paediatric patients | ASA I | aged 4-10 years | children undergoing general anaesthesia for tonsillectomy,granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine,"Anti-emetic efficacy | prevention | efficacy | complete response , defined as no emesis with no need for another rescue antiemetic | corresponding incidence | adverse events | long-term prevention | post-operative vomiting"
crf_predictions,10475150,primary hypothyroidism | untreated primary hypothyroidism,somatostatin ( octreotide ) | Somatostatin | melatonin | saline | octreotide ( Sandostatin | octreotide | octreotide -- fails,GH secretion | Urinary excretion | total nocturnal secretion of TSH | nocturnal secretion and urinary excretion,healthy volunteers and in patients with primary hypothyroidism . | 8 healthy volunteers | 6 women | untreated primary hypothyroidism | healthy volunteers | patients with hypothyroidism | normal subjects and in patients with primary hypothyroidism,somatostatin ( octreotide ) | Somatostatin | somatostatin | saline | octreotide ( Sandostatin ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | somatostatin . | somatostatin | octreotide | somatostatin,melatonin secretion | melatonin secretion . | melatonin secretion | nocturnal melatonin secretion | melatonin secretion | urinary excretion of melatonin | GH secretion | nocturnal melatonin secretion | Urinary excretion of melatonin | total nocturnal secretion of TSH | nocturnal secretion and urinary excretion of melatonin
crf_predictions,10578479,"premenopausal women | 36 premenopausal women , 20 of whom used OC .",soy intake | soy products high in isoflavonoid phytoestrogens | oral contraceptives ( OC ) | soy | soy beverage containing 20 g of protein and 38 mg of total isoflavones to their usual diet | soy feeding,"serum estrone , estradiol , sex hormone-binding globulin | dehydroepiandrosterone sulfate , prolactin",premenopausal women . | 36 premenopausal women | 20 | used OC | premenopausal OC | non-OC users .,soy | soy | soy | soy | soy beverage | soy | soy,"sex hormone metabolism | sex hormone metabolism | serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations | menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone | urinary estrogen metabolites | menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio"
crf_predictions,10589810,Not Found,conventional steel or non-tooth substance removing plastic curettes during supportive periodontal therapy | conventional steel curettes | supportive periodontal care visit ( SPT ),bleeding on probing ( BOP ) and probing pocket depth ( PPD ) | BOP percentage | BOP and PPD | mean BOP,40 subjects | 20 | 20,plastic curettes | conventional steel curettes | conventional steel curettes | plastic curettes | non-root substance removing curettes,Clinical effects | clinical effects | bleeding on probing ( BOP ) and probing pocket depth ( PPD ) | BOP percentage | BOP and PPD | BOP percentage | BOP | BOP
crf_predictions,10763172,61 inpatients with the diagnosis Rhinitis following nasal operation,xylometazoline | dexpanthenol | Xylometazoline with Dexpanthenol ( Nasic ) | Xylometazoline-Dexpanthenol nasal-spray | Xylometazoline nasal spray | Xylometazoline-Dexpanthenol,Not Found,after nose surgery | 61 inpatients with the diagnosis Rhinitis following nasal operation | patients following nasal operations | rhinitis following nasal operation,xylometazoline | dexpanthenol ] | Xylometazoline | Dexpanthenol ( Nasic ) | Xylometazoline | verum | placebo | Xylometazoline-Dexpanthenol | Xylometazoline | Xylometazoline-Dexpanthenol | Xylometazoline,wound healing | efficacy | tolerability | nasal-breathing-resistance according to scores | efficacy | tolerability | compliance | improvement | efficacy | tolerability
crf_predictions,10764172,Forty,Intrathecal morphine | morphine | intrathecal 0.5 mg morphine,natural killer ( NK ) cell activity | blood NK cell activity | plasma catecholamines and cortisol levels | postoperative pain score and side effects | NK cell activity | NK cell activities | plasma adrenaline nor noradrenaline concentrations | plasma cortisol levels | pain score,underwent hysterectomy | Forty patients were divided into four groups of ten .,morphine | morphine | morphine | morphine | morphine | morphine,NK cell activity | natural killer ( NK ) cell activity | postoperative pain score and side effects | NK cell activity | NK cell activities | plasma adrenaline | noradrenaline concentrations | plasma cortisol levels | pain score
crf_predictions,10912743,hypertensive | 142 hypertensive patients ( 76 men | 66 women | 59 +/- 5.9 years ) treated with different antihypertensive drugs :,aspirin | vitamin E | antihypertensive drug classes ( angiotensin converting enzyme inhibitors and calcium antagonists ),clinic and ambulatory blood pressure | blood pressure | clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP | clinic SBP and DBP | Ambulatory SBP and DBP,treated hypertensive patients . | hypertensive patients receiving drug treatment | people with one or more cardiovascular risk factors . | hypertension | 142 hypertensive | 76 men | 66 women | mean age 59 +/- 5.9 years | treated with different antihypertensive drugs,aspirin | aspirin | aspirin | aspirin | vitamin E | aspirin | aspirin | aspirin | aspirin | aspirin,clinic and ambulatory blood pressure | blood pressure ( BP ) control | clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP | clinic BP | 24-h ambulatory BP monitoring | clinic SBP and DBP | Ambulatory SBP and DBP | BP
crf_predictions,10934569,children | pervasive developmental disorder | Young children with pervasive developmental disorder | pervasive developmental disorder NOS ) | autism,intensive early intervention,Not Found,children | pervasive developmental disorder | Young children | pervasive developmental disorder | 7 | autism | 8 | pervasive developmental disorder not otherwise specified -- NOS | 7 with autism | 6 with pervasive developmental disorder NOS | Children | pervasive developmental disorder,intensive early intervention | intensive treatment | parent training . | intensive treatment | parent training | parent training . | intensive treatment | parent training,intelligence | visual-spatial skills | language | academics | adaptive functioning | behavior problems .
crf_predictions,10940525,Not Found,selamectin | selamectin treatment | ivermectin,Efficacy and safety of | flea allergy dermatitis | flea infestations | Flea burdens | flea comb counts | mean flea counts,"dogs and cats presented as veterinary patients in North America . | dogs and cats | dogs and cats showing signs of flea allergy dermatitis ( FAD ) . | Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD | 220 dogs , 189 cats | dogs and cats diagnosed clinically with FAD . | 397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA | 673 dogs and 347 cats | 19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) . | dogs and cats | dogs and cats .",selamectin | selamectin | selamectin | selamectin | selamectin | fenthion | pyrethrins | Selamectin | selamectin-treated | Selamectin | selamectin | ivermectin | Selamectin | Selamectin | selamectin | Selamectin,Efficacy | safety | efficacy | safety | flea comb counts | clinical evaluations of FAD | mean flea counts | mean flea counts | mean flea counts | mean flea counts | heartworm prevention rate | adverse events . | effective | signs associated with FAD . | heartworms | safe
