Document_ID,Abstract,Participants,Interventions,Outcomes,Gold_Participants,Gold_Interventions,Gold_Outcomes
10070173,Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of seasonal allergic rhinitis . Rhinocort Study Group . OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) . Secondarily to ascertain patients ' preferences for the two nasal devices and to assess quality of life . ...,seasonal allergic rhinitis | seasonal allergic rhinitis ( SAR ) | Two hundred and eighty-four | SAR,budesonide Turbuhaler | budesonide aqua | budesonide | Turbuhaler | aqua,Mean daily nasal symptom scores | eye symptoms | nasal | epistaxis and headache | unpleasant taste | nasal irritation | quality of life | safe,seasonal allergic rhinitis . | Two hundred and eighty-four out-patients | SAR | symptomatic during the ragweed season | 243 | SAR .,budesonide Turbuhaler | budesonide aqua | budesonide Turbuhaler | budesonide aqua | budesonide . | Turbuhaler | Turbuhaler | aqua spray | budesonide aqua | budesonide Turbuhaler | budesonide powder | Turbuhaler | aqua,patients ' preferences | quality of life . | Mean daily nasal symptom scores | eye symptoms . | nasal and non-nasal adverse events | epistaxis | headache . | nasal irritation | quality of life | safe | efficacious
10390665,"Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . In a prospective , randomized , double-blind study , 90 paediatric patients , ASA I , aged 4-10 years , rec ...",children | 90 paediatric | aged 4-10 years,granisetron | perphenazine | granisetron 40 | perphenazine 70,Anti-emetic efficacy | post-operative | complete response | no emesis | clinically serious adverse events,children . | tonsillectomy with or without adenoidectomy | children | 90 paediatric patients | ASA I | aged 4-10 years | children undergoing general anaesthesia for tonsillectomy,granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine,"Anti-emetic efficacy | prevention | efficacy | complete response , defined as no emesis with no need for another rescue antiemetic | corresponding incidence | adverse events | long-term prevention | post-operative vomiting"
10475150,"The role of somatostatin ( octreotide ) in the regulation of melatonin secretion in healthy volunteers and in patients with primary hypothyroidism . Somatostatin has been found in the pineal gland of several animal species , which suggests that it may be involved in the regulation of melatonin secretion . Whether somatostatin has regulatory influence on melatonin secretion in man has never been un ...",healthy volunteers | primary hypothyroidism | 8 healthy volunteers | 6 women,somatostatin ( octreotide ) | saline | octreotide ( Sandostatin | octreotide,melatonin secretion | urinary excretion of melatonin | GH secretion | nocturnal melatonin secretion | total nocturnal secretion of TSH,healthy volunteers and in patients with primary hypothyroidism . | 8 healthy volunteers | 6 women | untreated primary hypothyroidism | healthy volunteers | patients with hypothyroidism | normal subjects and in patients with primary hypothyroidism,somatostatin ( octreotide ) | Somatostatin | somatostatin | saline | octreotide ( Sandostatin ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | somatostatin . | somatostatin | octreotide | somatostatin,melatonin secretion | melatonin secretion . | melatonin secretion | nocturnal melatonin secretion | melatonin secretion | urinary excretion of melatonin | GH secretion | nocturnal melatonin secretion | Urinary excretion of melatonin | total nocturnal secretion of TSH | nocturnal secretion and urinary excretion of melatonin
10578479,"Effects of soy intake on sex hormone metabolism in premenopausal women . Studies suggest that phytoestrogens in soy products may impart hormonal effects that protect women against breast cancer . Limited research suggests that intake of soy products high in isoflavonoid phytoestrogens affects sex hormone metabolism , but it is unknown whether phytoestrogens in soy have any effect on menstrual func ...",premenopausal women | 36 premenopausal women | 20,soy intake | soy | soy products | normal diet | soy beverage containing,"sex hormone metabolism | serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations | menstrual cycle length | urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone | Levels of urinary estrogen metabolites | menstrual cycle | serum sex hormones | urinary estrogen metabolite ratio",premenopausal women . | 36 premenopausal women | 20 | used OC | premenopausal OC | non-OC users .,soy | soy | soy | soy | soy beverage | soy | soy,"sex hormone metabolism | sex hormone metabolism | serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations | menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone | urinary estrogen metabolites | menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio"
10589810,"Clinical effects of root instrumentation using conventional steel or non-tooth substance removing plastic curettes during supportive periodontal therapy ( SPT ) . Although root instrumentation has been accepted as the most important cause-related treatment of periodontal diseases , repeated scaling and root planing may over time result in substantive loss of tooth substance and increased sensitivi ...",40 | 20,root instrumentation | conventional steel | root instrumentation using plastic curettes | conventional steel curettes | active peridontal therapy | supportive periodontal care visit ( SPT ) | plastic curettes,bleeding on probing ( BOP ) and | probing pocket depth ( PPD ) | BOP percentage | BOP and | PPD,40 subjects | 20 | 20,plastic curettes | conventional steel curettes | conventional steel curettes | plastic curettes | non-root substance removing curettes,Clinical effects | clinical effects | bleeding on probing ( BOP ) and probing pocket depth ( PPD ) | BOP percentage | BOP and PPD | BOP percentage | BOP | BOP
10763172,[ Improving wound healing after nose surgery by combined administration of xylometazoline and dexpanthenol ] . BACKGROUND The aim of this study was the examination of efficacy and tolerability of an application-form of the new combination of Xylometazoline with Dexpanthenol ( Nasic ) versus Xylometazoline alone . PATIENTS AND METHODS Randomized verum controlled parallel-group-comparison of two wee ...,61 | Rhinitis,xylometazoline and | dexpanthenol | Xylometazoline with Dexpanthenol ( Nasic ) | Xylometazoline alone | nasal-spray | verum | placebo | Xylometazoline-Dexpanthenol nasal-spray | Xylometazoline nasal spray | Xylometazoline-Dexpanthenol | Xylometazoline,wound healing | efficacy | nasal-breathing-resistance | tolerability,after nose surgery | 61 inpatients with the diagnosis Rhinitis following nasal operation | patients following nasal operations | rhinitis following nasal operation,xylometazoline | dexpanthenol ] | Xylometazoline | Dexpanthenol ( Nasic ) | Xylometazoline | verum | placebo | Xylometazoline-Dexpanthenol | Xylometazoline | Xylometazoline-Dexpanthenol | Xylometazoline,wound healing | efficacy | tolerability | nasal-breathing-resistance according to scores | efficacy | tolerability | compliance | improvement | efficacy | tolerability
10764172,"Intrathecal morphine suppresses NK cell activity following abdominal surgery . PURPOSE The effects of morphine on natural killer ( NK ) cell activity were investigated in patients who underwent hysterectomy . METHODS Forty patients were divided into four groups of ten . The groups received intrathecal 0.5 mg morphine ( Group IT0.5 ) , intrathecal 0.1 mg morphine ( Group IT0.1 ) or 10 mg morphine i ...",hysterectomy | Forty,Intrathecal | morphine | intrathecal 0.5 mg morphine | intrathecal 0.1 mg morphine | inhalation anesthesia alone,NK | blood NK cell activity | postoperative pain score | side effects | NK cell activity | NK cell activities | plasma adrenaline nor noradrenaline concentrations | plasma cortisol levels | pain score,underwent hysterectomy | Forty patients were divided into four groups of ten .,morphine | morphine | morphine | morphine | morphine | morphine,NK cell activity | natural killer ( NK ) cell activity | postoperative pain score and side effects | NK cell activity | NK cell activities | plasma adrenaline | noradrenaline concentrations | plasma cortisol levels | pain score
10912743,"Effects of low-dose aspirin on clinic and ambulatory blood pressure in treated hypertensive patients . Collaborative Group of the Primary Prevention Project ( PPP ) -- Hypertension study . Nonsteroidal antiinflammatory drugs may affect blood pressure ( BP ) control in hypertensive patients receiving drug treatment , but data on the effects of low-dose aspirin are scanty . This study assessed the e ...",hypertensive patients | hypertensive | hypertensives | 142 | 76 men | 66 women | 71,aspirin | vitamin E,clinic | blood pressure ( BP ) | clinic SBP and DBP | Ambulatory SBP and DBP | BP,treated hypertensive patients . | hypertensive patients receiving drug treatment | people with one or more cardiovascular risk factors . | hypertension | 142 hypertensive | 76 men | 66 women | mean age 59 +/- 5.9 years | treated with different antihypertensive drugs,aspirin | aspirin | aspirin | aspirin | vitamin E | aspirin | aspirin | aspirin | aspirin | aspirin,clinic and ambulatory blood pressure | blood pressure ( BP ) control | clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP | clinic BP | 24-h ambulatory BP monitoring | clinic SBP and DBP | Ambulatory SBP and DBP | BP
10934569,"Randomized trial of intensive early intervention for children with pervasive developmental disorder . Young children with pervasive developmental disorder were randomly assigned to intensive treatment or parent training . The intensive treatment group ( 7 with autism , 8 with pervasive developmental disorder not otherwise specified -- NOS ) averaged 24.52 hours per week of individual treatment for ...",children | pervasive developmental disorder | Young children | 7 | autism | 8,intensive early intervention | intensive treatment | parent training,"intelligence , visual-spatial skills , language , and academics | adaptive functioning or behavior problems",children | pervasive developmental disorder | Young children | pervasive developmental disorder | 7 | autism | 8 | pervasive developmental disorder not otherwise specified -- NOS | 7 with autism | 6 with pervasive developmental disorder NOS | Children | pervasive developmental disorder,intensive early intervention | intensive treatment | parent training . | intensive treatment | parent training | parent training . | intensive treatment | parent training,intelligence | visual-spatial skills | language | academics | adaptive functioning | behavior problems .
10940525,"Efficacy and safety of selamectin against fleas and heartworms in dogs and cats presented as veterinary patients in North America . A series of randomized , controlled , masked field studies was conducted to assess the efficacy and safety of selamectin in the treatment of flea infestations on dogs and cats , and in the prevention of heartworm infection in dogs . In addition , observations were mad ...",dogs | 397,selamectin | positive-control | fenthion | pyrethrins | selamectin-treated,Efficacy and safety | Flea burdens | flea comb counts | mean flea counts,"dogs and cats presented as veterinary patients in North America . | dogs and cats | dogs and cats showing signs of flea allergy dermatitis ( FAD ) . | Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD | 220 dogs , 189 cats | dogs and cats diagnosed clinically with FAD . | 397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA | 673 dogs and 347 cats | 19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) . | dogs and cats | dogs and cats .",selamectin | selamectin | selamectin | selamectin | selamectin | fenthion | pyrethrins | Selamectin | selamectin-treated | Selamectin | selamectin | ivermectin | Selamectin | Selamectin | selamectin | Selamectin,Efficacy | safety | efficacy | safety | flea comb counts | clinical evaluations of FAD | mean flea counts | mean flea counts | mean flea counts | mean flea counts | heartworm prevention rate | adverse events . | effective | signs associated with FAD . | heartworms | safe
